id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/802701	10.2307/802701	A Reply to Professor Adams	Ernest R. Caverly	The English Journal	14	4	1925-04-01T00:00:00Z	pp. 317-318	National Council of Teachers of English	fla			
10.2307/802360	10.2307/802360	H. G. Wells	J. B. Priestly	The English Journal	14	2	1925-02-01T00:00:00Z	pp. 89-97	National Council of Teachers of English	fla			
10.2307/802220	10.2307/802220	Station SSJH	Dorothy Danforth	The English Journal	14	7	1925-09-01T00:00:00Z	pp. 551-553	National Council of Teachers of English	fla			
10.2307/802841	10.2307/802841	Concerning Royalties for School Plays	Dorothea M. Melden	The English Journal	10	8	1921-10-01T00:00:00Z	pp. 473-475	National Council of Teachers of English	fla			
10.2307/802696	10.2307/802696	The Matter of Background	Katherine Morse	The English Journal	14	4	1925-04-01T00:00:00Z	pp. 287-296	National Council of Teachers of English	fla			
10.2307/802926	10.2307/802926	Book Notices		The English Journal	11	10	1922-12-01T00:00:00Z	pp. 659-661	National Council of Teachers of English	mis			
10.2307/802461	10.2307/802461	The Old Nuisance	Margery R. Miller	The English Journal	12	7	1923-09-01T00:00:00Z	p. 491	National Council of Teachers of English	fla			
10.2307/802437	10.2307/802437	Front Matter		The English Journal	9	2	1920-02-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802538	10.2307/802538	Teaching Shakespeare in School	Winifred Smith	The English Journal	11	6	1922-06-01T00:00:00Z	pp. 361-364	National Council of Teachers of English	fla			
10.2307/802240	10.2307/802240	Experiment in Verse	Helen Heed	The English Journal	12	10	1923-12-01T00:00:00Z	pp. 697-698	National Council of Teachers of English	fla			
10.2307/801999	10.2307/801999	A Statistical Study of Usage and of Children's Errors in Capitalization	S. L. Pressey	The English Journal	13	10	1924-12-01T00:00:00Z	pp. 727-732	National Council of Teachers of English	fla			
10.2307/802372	10.2307/802372	Inter-Student Interviewing	Clinton H. Collester	The English Journal	14	2	1925-02-01T00:00:00Z	pp. 142-145	National Council of Teachers of English	fla			
10.2307/802462	10.2307/802462	Editorial: An Invitation Repeated. School-Year Resolutions		The English Journal	12	7	1923-09-01T00:00:00Z	p. 492	National Council of Teachers of English	fla			
10.2307/802887	10.2307/802887	A Shakespeare Game	Joyce Durfee	The English Journal	13	6	1924-06-01T00:00:00Z	p. 425	National Council of Teachers of English	fla			
10.2307/802953	10.2307/802953	A Neglected Form of Argument	R. P. Sibley	The English Journal	10	1	1921-01-01T00:00:00Z	pp. 35-38	National Council of Teachers of English	fla			
10.2307/802307	10.2307/802307	Golden Numbers: An Experiment in Teaching Love of Poetry to High-School Pupils	Annie Flint Kellogg	The English Journal	10	7	1921-09-01T00:00:00Z	pp. 367-375	National Council of Teachers of English	fla			
10.2307/802764	10.2307/802764	The British Report on the Teaching of English	Sterling A. Leonard	The English Journal	11	7	1922-09-01T00:00:00Z	pp. 446-449	National Council of Teachers of English	brv	The Teaching of English in England		
10.2307/801902	10.2307/801902	The Average Student	Dorrice Anwyl Richards	The English Journal	13	1	1924-01-01T00:00:00Z	pp. 72-73	National Council of Teachers of English	fla			
10.2307/802309	10.2307/802309	The History of the "Ugly Duckling" Library	M. L. Osborn	The English Journal	10	7	1921-09-01T00:00:00Z	pp. 389-391	National Council of Teachers of English	fla			
10.2307/802215	10.2307/802215	A Method for the College Teaching of Literature	Ethel Sturtevant	The English Journal	14	7	1925-09-01T00:00:00Z	pp. 522-529	National Council of Teachers of English	fla			
10.2307/802334	10.2307/802334	Editorial: The Social Conception. Interest the Women's Clubs. It's the Honor		The English Journal	14	5	1925-05-01T00:00:00Z	pp. 414-415	National Council of Teachers of English	fla			
10.2307/802040	10.2307/802040	The Play Producer's Notebook	Edith Rowe	The English Journal	12	9	1923-11-01T00:00:00Z	pp. 629-630	National Council of Teachers of English	fla			
10.2307/802117	10.2307/802117	Front Matter		The English Journal	10	4	1921-04-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/802659	10.2307/802659	Socializing Dramatics	Margaret M. Skinner	The English Journal	9	8	1920-10-01T00:00:00Z	pp. 448-456	National Council of Teachers of English	fla			
10.2307/802008	10.2307/802008	Ideals and Devices in Oral English	W. Wilbur Hatfield	The English Journal	13	10	1924-12-01T00:00:00Z	pp. 754-755	National Council of Teachers of English	brv	Better Everyday English|H. G. Paul		
10.2307/802030	10.2307/802030	Front Matter		The English Journal	12	9	1923-11-01T00:00:00Z		National Council of Teachers of English	mis			
