id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract	mystery
10.2307/800980	10.2307/800980	Book Notices		The English Journal	6	8	1917-10-01T00:00:00Z	p. 573	National Council of Teachers of English	mis			
10.2307/801538	10.2307/801538	The National Council of Teachers of English: Proceedings of the Fourth Annual Meeting, Chicago, November 26 to 28, 1914		The English Journal	4	1	1915-01-01T00:00:00Z	pp. 47-74	National Council of Teachers of English	mis			
10.2307/801185	10.2307/801185	Gentility in English Literature	Percy H. Boynton	The English Journal	2	3	1913-03-01T00:00:00Z	pp. 203-204	National Council of Teachers of English	brv	Chivalry in English Literature: Chaucer, Malory, Spenser, Shakespeare|William Henry Schofield		
10.2307/800831	10.2307/800831	The National Council of Teachers of English: Proceedings of the First Annual Meeting, Chicago, December 1 and 2, 1911		The English Journal	1	1	1912-01-01T00:00:00Z	pp. 30-45	National Council of Teachers of English	mis			
10.2307/801212	10.2307/801212	Some Problems in English Composition	Rena M. Odell	The English Journal	4	10	1915-12-01T00:00:00Z	pp. 647-652	National Council of Teachers of English	fla			
10.2307/801644	10.2307/801644	Editorial: The Library in the School. Statistics and Comments		The English Journal	4	6	1915-06-01T00:00:00Z	pp. 408-410	National Council of Teachers of English	fla			
10.2307/801677	10.2307/801677	Book Notices		The English Journal	8	1	1919-01-01T00:00:00Z	p. 62	National Council of Teachers of English	mis			
10.2307/801716	10.2307/801716	The Teacher's Desk	Margaret Sherman	The English Journal	5	10	1916-12-01T00:00:00Z	p. 706	National Council of Teachers of English	fla			
10.2307/801623	10.2307/801623	The Development of Good Taste in Reading	Nelson Antrim Crawford	The English Journal	3	9	1914-11-01T00:00:00Z	pp. 562-567	National Council of Teachers of English	fla			
10.2307/801153	10.2307/801153	Poetry and the Filipinos	Philip Stevens	The English Journal	5	4	1916-04-01T00:00:00Z	pp. 253-256	National Council of Teachers of English	fla			
10.2307/802437	10.2307/802437	Front Matter		The English Journal	9	2	1920-02-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801532	10.2307/801532	Front Matter		The English Journal	4	1	1915-01-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801027	10.2307/801027	[Letter from E. E. Chiles]	E. E. Chiles	The English Journal	2	9	1913-11-01T00:00:00Z	pp. 597-599	National Council of Teachers of English	fla			
10.2307/801105	10.2307/801105	The Play Producer's Notebook	Flora M. Prowdley	The English Journal	6	7	1917-09-01T00:00:00Z	pp. 474-475	National Council of Teachers of English	fla			
10.2307/801202	10.2307/801202	Help the Economy Committee	C. H. Ward	The English Journal	7	6	1918-06-01T00:00:00Z	pp. 392-394	National Council of Teachers of English	fla			
10.2307/800829	10.2307/800829	The School and Current Fiction	Herbert Bates	The English Journal	1	1	1912-01-01T00:00:00Z	pp. 15-23	National Council of Teachers of English	fla			
10.2307/801216	10.2307/801216	"Turn Them Loose"	John Adams Taylor	The English Journal	4	10	1915-12-01T00:00:00Z	pp. 669-671	National Council of Teachers of English	fla			
10.2307/801848	10.2307/801848	The Aims of High-School English	Allan Abbott	The English Journal	1	8	1912-10-01T00:00:00Z	pp. 509-511	National Council of Teachers of English	fla			
10.2307/801011	10.2307/801011	Back Matter		The English Journal	6	4	1917-04-01T00:00:00Z		National Council of Teachers of English	mis			
10.2307/801370	10.2307/801370	In Praise of Prevision	Sterling Andrus Leonard	The English Journal	4	8	1915-10-01T00:00:00Z	pp. 500-507	National Council of Teachers of English	fla			
10.2307/801710	10.2307/801710	Composition as One of the Arts	Elsie Nutting	The English Journal	5	10	1916-12-01T00:00:00Z	pp. 671-679	National Council of Teachers of English	fla			
10.2307/801658	10.2307/801658	News and Notes		The English Journal	5	3	1916-03-01T00:00:00Z	pp. 213-219	National Council of Teachers of English	mis			
10.2307/802659	10.2307/802659	Socializing Dramatics	Margaret M. Skinner	The English Journal	9	8	1920-10-01T00:00:00Z	pp. 448-456	National Council of Teachers of English	fla			
